,Pwh (Mpa),Twh (℃),Gas Production,Oil Production(方/天),Water Production (方/天),CHK,Pwf (Mpa),Yemp,Yemp2
0,-0.4718494389847913,0.1802450541506597,-0.21490951603682815,0.6179996741282688,-1.1922215530052003,-0.9238645747168536,-0.3899595076069464,-0.3941437570531078,-0.4589642832097133
1,-0.4718494389847913,0.18110932783274789,-0.174379401715308,0.5775948794906514,-1.1941661687898983,-0.9238645747168536,-0.3899595076069464,-0.3941437570531078,-0.4589642832097133
2,-0.4718494389847913,0.18175753309431397,-0.1757622396066489,0.5985535162812871,-1.19114121090259,-0.9238645747168536,-0.3899595076069464,-0.3941437570531078,-0.4589642832097133
3,-0.4718494389847913,0.18110932783274789,-0.18466209784795073,0.5961767636555448,-1.1909251424820682,-0.9238645747168536,-0.3899595076069464,-0.3941437570531078,-0.4589642832097133
4,-0.4718494389847913,0.17981291730961574,-0.1903857503075791,0.5728413742391669,-1.1898448003794582,-0.9260252589220738,-0.3901755760274684,-0.3941437570531078,-0.4589642832097133
5,-0.4718494389847913,0.1802450541506597,-0.19172537451481556,0.5486417111407011,-1.1894126635384141,-0.9260252589220738,-0.3901755760274684,-0.3941437570531078,-0.4589642832097133
6,-0.47206550740531344,0.18240573835588006,-0.1842731746910111,0.559877269007846,-1.1866037740716278,-0.9238645747168536,-0.3901755760274684,-0.39435982547362974,-0.45918035163023524
7,-0.47206550740531344,0.18262180677640188,-0.08486007280198851,-0.25671011267101773,-1.1408404826050644,-0.9346679957429546,-0.3901755760274684,-0.39435982547362974,-0.45918035163023524
8,-0.47206550740531344,0.18499855940214405,-0.08611992454836823,-0.25781206161568004,-1.1408404826050644,-0.9238645747168536,-0.3901755760274684,-0.39435982547362974,-0.45918035163023524
9,-0.47206550740531344,0.1854306962431883,-0.7777223771283761,-0.8418450022866955,-1.180510644612907,-0.9303466273325143,-0.3901755760274684,-0.39435982547362974,-0.45918035163023524
10,-0.48740636526237663,0.2956255907094175,-0.450212196105822,-0.5788465208272948,0.2902238801963671,-0.7250816278365969,-0.3955772865405188,-0.40970068333069304,-0.47452120948729853
11,-0.48308499685193634,0.3165842275000533,0.998928299508587,0.6605651529711064,-1.2047535213954774,-0.7445277856835784,-0.3947130128584308,-0.40537931492025264,-0.47019984107685814
12,-0.48308499685193634,0.3116146538280471,0.8699610565647741,0.5513857800813307,0.1388895584627455,-0.7423671014783583,-0.39492908127895293,-0.40537931492025264,-0.47019984107685814
13,-0.48308499685193634,0.33927141165486513,0.933007358493105,0.6050139620548955,-1.1158629731927192,-0.7423671014783583,-0.39492908127895293,-0.40537931492025264,-0.47019984107685814
14,-0.48135644948776024,0.3267394432645881,0.8666551665171031,0.5488145658771186,-1.1188015037118184,-0.7790987329671014,-0.39449694443790884,-0.40365076755607654,-0.468471293712682
15,-0.48135644948776024,0.3282519222082424,0.7690142145995178,0.46616839502744656,-1.1232092994904677,-0.7790987329671014,-0.39449694443790884,-0.40365076755607654,-0.468471293712682
16,-0.48135644948776024,0.3379750011317333,0.8439753935091151,0.5293468011880849,-1.1199034526564808,-0.7639739435305601,-0.39449694443790884,-0.40365076755607654,-0.468471293712682
17,-0.48308499685193634,0.3397035484959094,0.863954786611103,0.5462433516729066,-1.1195361363415932,-0.7639739435305601,-0.39449694443790884,-0.40537931492025264,-0.47019984107685814
18,-0.48308499685193634,0.3401356853369533,0.8648215450800271,0.5469779843026813,-1.1199034526564808,-0.7639739435305601,-0.3955772865405188,-0.40537931492025264,-0.47019984107685814
19,-0.48308499685193634,0.34208030112165155,0.8655857574765715,0.5477126169324563,-1.1202707689713682,-0.7639739435305601,-0.3955772865405188,-0.40537931492025264,-0.47019984107685814
20,-0.48308499685193634,0.34208030112165155,0.86788571938566,0.5495491985068933,-1.1206380852862556,-0.7639739435305601,-0.39579335496104096,-0.40537931492025264,-0.47019984107685814
21,-0.48351713369298027,0.34208030112165155,0.8669530384416346,0.5488145658771186,-1.121005401601143,-0.7639739435305601,-0.39579335496104096,-0.40581145176129674,-0.47063197791790223
22,-0.48351713369298027,0.3431606432242616,0.8677587575817612,0.5495491985068933,-1.121005401601143,-0.763541806689516,-0.396009423381563,-0.40581145176129674,-0.47063197791790223
23,-0.4837332021135024,0.33538218008546894,0.8688843228047866,0.5506511474515556,-1.1213727179160304,-0.7633257382689941,-0.396009423381563,-0.4060275201818187,-0.4708480463384242
